cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
linear,0.0,1311,delta_clean2,dt3,0.10982332408363217,31.35774218154081,33.239608801955995,87,41,21,25,12.100000000000005
linear,0.1,1180,delta_clean2,dt3,0.11017018774951405,31.35774218154081,33.239608801955995,87,41,21,25,12.100000000000005
geom,0.0,1311,delta_clean2,dt3,0.12503253736049574,31.35774218154081,33.239608801955995,87,41,21,25,12.100000000000005
geom,0.1,1180,delta_clean2,dt3,0.12521028092007946,31.35774218154081,33.239608801955995,87,41,21,25,12.100000000000005
linear,0.2,1049,delta_clean2,dt3,0.11376814659497764,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
linear,0.3,918,delta_clean2,dt3,0.11625489584109155,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
linear,0.4,787,delta_clean2,dt3,0.1211454002501073,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
geom,0.2,1049,delta_clean2,dt3,0.12548083191251833,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
geom,0.3,918,delta_clean2,dt3,0.1281744339911393,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
geom,0.4,787,delta_clean,dt3,0.11548265924787746,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
geom,0.4,787,delta_clean2,dt3,0.13277507431354724,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
recall,0.3,918,delta_clean2,dt3,0.12330437481976537,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
recall,0.4,787,delta_clean,dt3,0.11242565876308966,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
recall,0.4,787,delta_clean2,dt3,0.12902648188272825,31.17467581998475,33.10513447432763,105,44,29,32,11.000000000000009
recall,0.0,1311,delta_clean2,dt3,0.09097437309949052,31.174675819984742,33.05623471882641,90,38,26,26,10.600000000000003
recall,0.1,1180,delta_clean2,dt3,0.09095450252672965,31.174675819984742,33.05623471882641,90,38,26,26,10.600000000000003
recall,0.2,1049,delta_clean2,dt3,0.09223327521120771,31.174675819984742,33.05623471882641,90,38,26,26,10.600000000000003
linear,0.3,918,delta_clean,lgbm,0.08353040199527936,32.10526315789474,32.98288508557457,111,42,32,37,10.000000000000007
linear,0.1,1180,delta_clean2,lgbm,0.07335144894895308,32.04424103737605,32.90953545232274,117,41,37,39,9.400000000000004
linear,0.3,918,delta_clean,gbrt,0.06712890536173785,32.166285278413426,32.909535452322736,143,47,45,51,9.400000000000007
linear,0.0,1311,delta_clean2,lgbm,0.08174129579127078,32.0976353928299,32.89731051344744,113,41,33,39,9.300000000000004
geom,0.1,1180,delta_clean,gbrt,0.05947262981590795,32.25019069412662,32.88508557457212,147,47,45,55,9.200000000000006
linear,0.3,918,delta_clean2,lgbm,0.07489734335420156,31.891685736079328,32.872860635696824,118,42,34,42,9.100000000000003
linear,0.4,787,delta_clean,gbrt,0.0805944246780048,32.00610221205187,32.836185819070906,83,31,24,28,8.799999999999999
