experiment,fold,train_mra_percent,val_mra_percent,rule_json,val_quantile_counts_json
near_gate_cv,0,31.21753246753247,32.903225806451616,"{""family"": ""near_gate"", ""train_mra"": 0.3121753246753247, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 155}"
near_gate_cv,1,30.405186385737437,36.168831168831176,"{""family"": ""near_gate"", ""train_mra"": 0.30405186385737437, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,2,32.38249594813614,27.857142857142858,"{""family"": ""near_gate"", ""train_mra"": 0.3238249594813614, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3782122232625908}","{""p05"": 1, ""p90"": 153}"
near_gate_cv,3,32.982171799027554,25.844155844155843,"{""family"": ""near_gate"", ""train_mra"": 0.32982171799027554, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,4,30.79416531604538,34.61038961038961,"{""family"": ""near_gate"", ""train_mra"": 0.3079416531604538, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
spread_gate_cv,0,31.3961038961039,32.903225806451616,"{""family"": ""spread_gate"", ""train_mra"": 0.313961038961039, ""threshold_p90"": 0.7130001431700848, ""threshold_spread"": 0.26162022436589755, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 154}"
spread_gate_cv,1,30.58346839546191,36.168831168831176,"{""family"": ""spread_gate"", ""train_mra"": 0.3058346839546191, ""threshold_p90"": 0.6935429623795363, ""threshold_spread"": 0.26745557469016634, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 154}"
spread_gate_cv,2,32.560777957860616,28.246753246753247,"{""family"": ""spread_gate"", ""train_mra"": 0.32560777957860615, ""threshold_p90"": 0.6928632054173337, ""threshold_spread"": 0.255470500846867, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 153}"
spread_gate_cv,3,33.030794165316046,26.16883116883117,"{""family"": ""spread_gate"", ""train_mra"": 0.33030794165316046, ""threshold_p90"": 0.8830855375580351, ""threshold_spread"": 0.26745557469016634, ""tight_quantile"": ""p10"", ""loose_quantile"": ""p90""}","{""p10"": 5, ""p90"": 149}"
spread_gate_cv,4,30.972447325769853,34.61038961038961,"{""family"": ""spread_gate"", ""train_mra"": 0.30972447325769853, ""threshold_p90"": 0.715709216752792, ""threshold_spread"": 0.26235233910955086, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 2, ""p90"": 152}"
stump_cv,0,32.24025974025974,31.74193548387097,"{""family"": ""stump"", ""train_mra"": 0.3224025974025974, ""feature"": ""skew"", ""threshold"": 4.880299349605738, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 18, ""p90"": 137}"
stump_cv,1,31.361426256077795,36.36363636363637,"{""family"": ""stump"", ""train_mra"": 0.31361426256077796, ""feature"": ""skew"", ""threshold"": 8.337699879250085, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 8, ""p90"": 146}"
stump_cv,2,33.160453808752024,29.155844155844157,"{""family"": ""stump"", ""train_mra"": 0.3316045380875203, ""feature"": ""skew"", ""threshold"": 8.337699879250085, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 8, ""p90"": 146}"
stump_cv,3,33.776337115072934,25.844155844155843,"{""family"": ""stump"", ""train_mra"": 0.33776337115072935, ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.729475587703435, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 8, ""p90"": 146}"
stump_cv,4,31.507293354943272,35.714285714285715,"{""family"": ""stump"", ""train_mra"": 0.3150729335494327, ""feature"": ""skew"", ""threshold"": 8.523587324601534, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 6, ""p90"": 148}"
tree_depth2_cv,0,32.95454545454545,32.58064516129032,"{""family"": ""tree_depth2"", ""train_mra"": 0.32954545454545453, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""skew"", ""threshold"": 6.076672878482257, ""count"": 616, ""left"": {""type"": ""node"", ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.802597402597402, ""count"": 563, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 531, ""train_mra"": 0.32015065913371}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 32, ""train_mra"": 0.48125}}, ""right"": {""type"": ""node"", ""feature"": ""spread_p90_p25"", ""threshold"": 0.6098854269677296, ""count"": 53, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 21, ""train_mra"": 0.3523809523809524}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 32, ""train_mra"": 0.31875}}}}","{""p75"": 15, ""p90"": 140}"
