drop_q,fit_count,model,conf_t,test_mra,delta_sum,median_count,p75_count,p90_count
0.3,918,rf,0.65,31.83374083129584,0.5999999999999996,36,7,775
0.2,1049,rf,0.65,31.809290953545233,0.39999999999999963,47,5,766
0.0,1311,xgb,0.5,31.76039119804401,0.0,0,0,818
0.1,1180,xgb,0.5,31.76039119804401,0.0,0,0,818
0.2,1049,xgb,0.5,31.76039119804401,0.0,0,0,818
0.3,918,xgb,0.5,31.76039119804401,0.0,0,0,818
0.1,1180,rf,0.65,31.723716381418093,-0.30000000000000043,28,4,786
0.0,1311,dt3,0.75,31.662591687041562,-0.8000000000000025,58,63,697
0.1,1180,dt3,0.75,31.662591687041562,-0.8000000000000025,58,63,697
0.2,1049,dt3,0.75,31.662591687041562,-0.8000000000000025,58,63,697
0.3,918,dt3,0.75,31.45476772616137,-2.500000000000001,40,31,747
0.3,918,lgbm,0.65,31.41809290953545,-2.8,52,0,766
0.3,918,dt2,0.8,31.40586797066015,-2.9000000000000004,45,0,773
0.0,1311,rf,0.6000000000000001,31.393643031784833,-3.000000000000001,122,11,685
0.2,1049,lgbm,0.65,31.320293398533007,-3.599999999999999,48,0,770
0.3,918,gbrt,0.6000000000000001,31.22249388753056,-4.400000000000001,118,8,692
0.2,1049,gbrt,0.6000000000000001,30.977995110024448,-6.399999999999997,116,8,694
0.0,1311,dt2,0.6000000000000001,30.965770171149142,-6.499999999999999,45,68,705
0.1,1180,dt2,0.6000000000000001,30.965770171149142,-6.499999999999999,45,68,705
0.2,1049,dt2,0.6000000000000001,30.965770171149142,-6.499999999999999,45,68,705
0.0,1311,gbrt,0.6000000000000001,30.88019559902201,-7.1999999999999975,117,5,696
0.1,1180,gbrt,0.6000000000000001,30.831295843520785,-7.599999999999998,110,6,702
0.0,1311,lgbm,0.6000000000000001,30.770171149144254,-8.100000000000005,113,0,705
0.1,1180,lgbm,0.6000000000000001,30.745721271393645,-8.299999999999999,118,0,700
