name,clean_mode,fit_count,status,weight_mode,test_mra_percent,train_mra_percent,test_p75_count,test_benefit,test_tie,test_harm,test_switch_delta_sum,threshold,far_guard_proxy,far_guard_threshold
quality_loose:decision_tree_delta_d3,quality_loose,593,ok,delta,33.11735941320293,31.327231121281468,103,44,28,31,11.100000000000009,0.09099205385336066,,
quality_loose:decision_tree_delta_d3:far_guard,quality_loose,593,ok,delta,33.11735941320293,31.327231121281468,103,44,28,31,11.100000000000009,0.09099205385336066,,
non_tie:lgbm_delta:delta_quality,non_tie,509,ok,delta_quality,32.872860635696824,32.0747520976354,151,45,52,54,9.100000000000007,0.08233603585936566,,
non_tie:lgbm_delta:far_guard:delta_quality,non_tie,509,ok,delta_quality,32.872860635696824,32.10526315789474,151,45,52,54,9.100000000000007,0.08233603585936566,p75,3.0
switch_relevant:lgbm_delta:delta_quality,switch_relevant,509,ok,delta_quality,32.872860635696824,32.0747520976354,151,45,52,54,9.100000000000007,0.08233603585936566,,
switch_relevant:lgbm_delta:far_guard:delta_quality,switch_relevant,509,ok,delta_quality,32.872860635696824,32.10526315789474,151,45,52,54,9.100000000000007,0.08233603585936566,p75,3.0
none:gbrt_delta:delta_quality,none,1311,ok,delta_quality,32.775061124694375,32.21967963386728,104,37,29,38,8.300000000000002,0.08975239013197607,,
quality_loose:decision_tree_delta_d3:far_guard:delta_quality,quality_loose,593,ok,delta_quality,32.71393643031785,30.892448512585812,163,43,68,52,7.800000000000006,0.12226952480815084,median,1.2
drop_far_proxy:logistic_switch:quality,drop_far_proxy,1297,ok,quality,32.67726161369193,30.816170861937454,81,32,20,29,7.500000000000001,0.7246626110152207,,
quality_loose:decision_tree_delta_d3:quality,quality_loose,593,ok,quality,32.67726161369193,31.250953470633107,100,38,26,36,7.500000000000003,-0.024087915304013992,,
quality_loose:decision_tree_delta_d3:far_guard:quality,quality_loose,593,ok,quality,32.67726161369193,31.250953470633107,100,38,26,36,7.500000000000003,-0.024087915304013992,,
quality_loose:random_forest_delta:delta_quality,quality_loose,593,ok,delta_quality,32.677261613691925,31.762013729977117,190,51,78,61,7.500000000000002,0.048351316898464634,,
quality_loose:random_forest_delta:far_guard:delta_quality,quality_loose,593,ok,delta_quality,32.677261613691925,31.79252479023646,189,51,77,61,7.500000000000002,0.04835131689846464,p75,3.0
quality_loose:logistic_switch:far_guard:delta_quality,quality_loose,593,ok,delta_quality,32.66503667481662,31.07551487414188,138,47,41,50,7.400000000000003,0.7525228745529223,p75,3.0
none:logistic_switch:quality,none,1311,ok,quality,32.65281173594132,30.854309687261633,87,34,22,31,7.300000000000001,0.72205748205997,,
quality_loose:logistic_switch:far_guard,quality_loose,593,ok,delta,32.65281173594132,30.976353928299012,166,54,51,61,7.299999999999999,0.7292665863171487,median,2.0
none:decision_tree_delta_d2:delta_quality,none,1311,ok,delta_quality,32.62836185819071,31.197559115179253,158,49,47,62,7.100000000000002,0.07760115406651753,,
none:decision_tree_delta_d2:far_guard:delta_quality,none,1311,ok,delta_quality,32.62836185819071,31.197559115179253,158,49,47,62,7.100000000000002,0.07760115406651753,,
none:decision_tree_delta_d3:delta_quality,none,1311,ok,delta_quality,32.62836185819071,31.197559115179253,158,49,47,62,7.100000000000002,0.025082269998513436,,
none:decision_tree_delta_d3:far_guard:delta_quality,none,1311,ok,delta_quality,32.62836185819071,31.197559115179253,158,49,47,62,7.100000000000002,0.025082269998513436,,
quality_loose:logistic_switch:delta_quality,quality_loose,593,ok,delta_quality,32.62836185819071,31.06025934401221,141,48,42,51,7.100000000000002,0.7525228745529223,,
none:lgbm_delta:quality,none,1311,ok,quality,32.6161369193154,32.33409610983982,213,61,66,86,7.000000000000003,-0.01859350755904162,,
none:lgbm_delta:far_guard:quality,none,1311,ok,quality,32.6161369193154,32.364607170099156,213,61,66,86,7.000000000000003,-0.018593507559041628,p75,3.0
quality_loose:decision_tree_delta_d2,quality_loose,593,ok,delta,32.6161369193154,30.648360030511064,32,18,7,7,7.000000000000002,0.3429499072356215,,
quality_loose:decision_tree_delta_d2:delta_quality,quality_loose,593,ok,delta_quality,32.6161369193154,30.648360030511064,32,18,7,7,7.000000000000002,0.4264546993871965,,
non_tie:decision_tree_delta_d2,non_tie,509,ok,delta,32.603911980440095,31.144164759725395,155,49,48,58,6.900000000000003,0.12369487908961596,,
non_tie:decision_tree_delta_d2:far_guard,non_tie,509,ok,delta,32.603911980440095,31.144164759725395,155,49,48,58,6.900000000000003,0.12369487908961596,,
switch_relevant:decision_tree_delta_d2,switch_relevant,509,ok,delta,32.603911980440095,31.144164759725395,155,49,48,58,6.900000000000003,0.12369487908961596,,
switch_relevant:decision_tree_delta_d2:far_guard,switch_relevant,509,ok,delta,32.603911980440095,31.144164759725395,155,49,48,58,6.900000000000003,0.12369487908961596,,
quality_loose:logistic_switch,quality_loose,593,ok,delta,32.603911980440095,30.9534706331045,171,55,53,63,6.899999999999999,0.7292665863171487,,
non_tie:lgbm_delta,non_tie,509,ok,delta,32.51833740831296,32.06712433257056,135,39,44,52,6.200000000000001,0.08756895768419318,,
switch_relevant:lgbm_delta,switch_relevant,509,ok,delta,32.51833740831296,32.06712433257056,135,39,44,52,6.200000000000001,0.08756895768419318,,
quality_loose:decision_tree_delta_d3:delta_quality,quality_loose,593,ok,delta_quality,32.51833740831296,30.770404271548436,233,54,103,76,6.2000000000000055,0.12226952480815084,,
non_tie:gbrt_delta:delta_quality,non_tie,509,ok,delta_quality,32.506112469437646,32.013729977116704,153,46,44,63,6.1,0.0858964276141794,,
non_tie:gbrt_delta:far_guard:delta_quality,non_tie,509,ok,delta_quality,32.506112469437646,32.013729977116704,153,46,44,63,6.1,0.0858964276141794,,
switch_relevant:gbrt_delta:delta_quality,switch_relevant,509,ok,delta_quality,32.506112469437646,32.013729977116704,153,46,44,63,6.1,0.0858964276141794,,
switch_relevant:gbrt_delta:far_guard:delta_quality,switch_relevant,509,ok,delta_quality,32.506112469437646,32.013729977116704,153,46,44,63,6.1,0.0858964276141794,,
drop_far_proxy:gbrt_delta:delta_quality,drop_far_proxy,1297,ok,delta_quality,32.506112469437646,32.14340198321892,104,33,36,35,6.099999999999998,0.08127161797672094,,
none:logistic_switch:delta_quality,none,1311,ok,delta_quality,32.48166259168704,31.006864988558352,76,26,20,30,5.8999999999999995,0.8840330010386536,,
none:logistic_switch:far_guard:delta_quality,none,1311,ok,delta_quality,32.48166259168704,31.006864988558352,76,26,20,30,5.8999999999999995,0.8840330010386536,,
non_tie_quality_loose:logistic_switch:far_guard:delta_quality,non_tie_quality_loose,271,ok,delta_quality,32.46943765281174,31.029748283752866,152,46,51,55,5.799999999999999,0.6294045149733608,p75,2.5
none:lgbm_delta,none,1311,ok,delta,32.45721271393643,32.265446224256294,196,52,69,75,5.700000000000001,0.03379678272618848,,
none:lgbm_delta:far_guard,none,1311,ok,delta,32.45721271393643,32.29595728451564,196,52,69,75,5.700000000000001,0.03379678272618848,p75,3.0
quality_strict:logistic_switch:quality,quality_strict,390,ok,quality,32.45721271393643,30.90007627765065,50,24,9,17,5.700000000000001,0.6628443637838887,,
quality_strict:logistic_switch:far_guard:quality,quality_strict,390,ok,quality,32.45721271393643,30.90007627765065,50,24,9,17,5.700000000000001,0.6628443637838887,,
non_tie_quality_loose:logistic_switch:far_guard,non_tie_quality_loose,271,ok,delta,32.45721271393643,31.06025934401221,193,54,68,71,5.699999999999999,0.598985800410521,p75,2.5
drop_far_proxy:decision_tree_delta_d3,drop_far_proxy,1297,ok,delta,32.44498777506112,30.983981693363848,53,19,17,17,5.599999999999999,0.2039610113315716,,
drop_far_proxy:decision_tree_delta_d3:delta_quality,drop_far_proxy,1297,ok,delta_quality,32.44498777506112,30.983981693363848,53,19,17,17,5.599999999999999,0.20446236785266128,,
none:gbrt_delta:quality,none,1311,ok,quality,32.432762836185816,32.22730739893211,155,44,47,64,5.5,-0.014387285193190552,,
none:gbrt_delta:far_guard:quality,none,1311,ok,quality,32.432762836185816,32.22730739893211,155,44,47,64,5.5,-0.014387285193190552,,
drop_far_proxy:logistic_switch:far_guard:quality,drop_far_proxy,1297,ok,quality,32.432762836185816,30.854309687261633,73,27,19,27,5.500000000000001,0.7246626110152207,p90,2.5
non_tie_quality_loose:logistic_switch:delta_quality,non_tie_quality_loose,271,ok,delta_quality,32.432762836185816,30.976353928299012,156,47,53,56,5.500000000000001,0.6294045149733608,,
non_tie:lgbm_delta:quality,non_tie,509,ok,quality,32.42053789731052,32.151029748283754,220,59,73,88,5.400000000000001,-0.018503703487751783,,
non_tie:lgbm_delta:far_guard:quality,non_tie,509,ok,quality,32.42053789731052,32.18916857360794,219,59,72,88,5.400000000000001,-0.018503703487751783,median,2.0
switch_relevant:lgbm_delta:quality,switch_relevant,509,ok,quality,32.42053789731052,32.151029748283754,220,59,73,88,5.400000000000001,-0.018503703487751783,,
switch_relevant:lgbm_delta:far_guard:quality,switch_relevant,509,ok,quality,32.42053789731052,32.18916857360794,219,59,72,88,5.400000000000001,-0.018503703487751783,median,2.0
non_tie_quality_loose:logistic_switch,non_tie_quality_loose,271,ok,delta,32.42053789731052,31.006864988558352,197,55,70,72,5.3999999999999995,0.598985800410521,,
none:logistic_switch:far_guard:quality,none,1311,ok,quality,32.40831295843521,30.861937452326472,78,29,20,29,5.300000000000002,0.72205748205997,p90,2.5
non_tie:decision_tree_delta_d2:delta_quality,non_tie,509,ok,delta_quality,32.40831295843521,30.999237223493516,182,52,56,74,5.3000000000000025,0.10338827874495034,,
switch_relevant:decision_tree_delta_d2:delta_quality,switch_relevant,509,ok,delta_quality,32.40831295843521,30.999237223493516,182,52,56,74,5.3000000000000025,0.10338827874495034,,
non_tie_quality_loose:logistic_switch:far_guard:quality,non_tie_quality_loose,271,ok,quality,32.40831295843521,31.006864988558352,118,38,35,45,5.3,0.6193244966388667,median,2.0
none:decision_tree_delta_d2,none,1311,ok,delta,32.396088019559905,31.006864988558352,164,46,53,65,5.2,0.07375176133217484,,
none:decision_tree_delta_d2:far_guard,none,1311,ok,delta,32.396088019559905,31.006864988558352,164,46,53,65,5.2,0.07375176133217484,,
none:decision_tree_delta_d3,none,1311,ok,delta,32.396088019559905,31.006864988558352,164,46,53,65,5.2,0.02390903360074615,,
none:decision_tree_delta_d3:far_guard,none,1311,ok,delta,32.396088019559905,31.006864988558352,164,46,53,65,5.2,0.02390903360074615,,
none:gbrt_delta:far_guard:delta_quality,none,1311,ok,delta_quality,32.396088019559905,32.23493516399695,174,47,57,70,5.2,0.044162786987041534,p75,2.5
non_tie:random_forest_delta:quality,non_tie,509,ok,quality,32.396088019559905,31.998474446987036,304,75,115,114,5.200000000000001,-0.043538477911515355,,
non_tie:random_forest_delta:far_guard:quality,non_tie,509,ok,quality,32.396088019559905,32.028985507246375,303,75,114,114,5.200000000000001,-0.04353847791151537,p75,3.0
non_tie:gbrt_delta:quality,non_tie,509,ok,quality,32.396088019559905,32.0976353928299,158,46,45,67,5.2,0.008756892423452657,,
non_tie:gbrt_delta:far_guard:quality,non_tie,509,ok,quality,32.396088019559905,32.13577421815408,156,46,43,67,5.2,0.008756892423452657,median,2.0
switch_relevant:random_forest_delta:quality,switch_relevant,509,ok,quality,32.396088019559905,31.998474446987036,304,75,115,114,5.200000000000001,-0.04353847791151536,,
switch_relevant:random_forest_delta:far_guard:quality,switch_relevant,509,ok,quality,32.396088019559905,32.028985507246375,303,75,114,114,5.200000000000001,-0.04353847791151537,p75,3.0
