name,clean_mode,fit_count,status,test_mra_percent,train_mra_percent,test_p75_count,test_benefit,test_tie,test_harm,test_switch_delta_sum,threshold
non_tie:decision_tree_delta_d2,non_tie,509,ok,32.603911980440095,31.144164759725395,155,49,48,58,6.900000000000003,0.12369487908961596
switch_relevant:decision_tree_delta_d2,switch_relevant,509,ok,32.603911980440095,31.144164759725395,155,49,48,58,6.900000000000003,0.12369487908961596
non_tie:lgbm_delta,non_tie,509,ok,32.51833740831296,32.06712433257056,135,39,44,52,6.200000000000001,0.08756895768419318
switch_relevant:lgbm_delta,switch_relevant,509,ok,32.51833740831296,32.06712433257056,135,39,44,52,6.200000000000001,0.08756895768419318
none:lgbm_delta,none,1311,ok,32.45721271393643,32.265446224256294,196,52,69,75,5.700000000000001,0.03379678272618848
drop_far_proxy:decision_tree_delta_d3,drop_far_proxy,1297,ok,32.44498777506112,30.983981693363848,53,19,17,17,5.599999999999999,0.2039610113315716
none:decision_tree_delta_d2,none,1311,ok,32.396088019559905,31.006864988558352,164,46,53,65,5.2,0.07375176133217484
none:decision_tree_delta_d3,none,1311,ok,32.396088019559905,31.006864988558352,164,46,53,65,5.2,0.02390903360074615
non_tie:decision_tree_delta_d3,non_tie,509,ok,32.27383863080684,31.197559115179253,226,56,81,89,4.199999999999999,0.07326453090307064
switch_relevant:decision_tree_delta_d3,switch_relevant,509,ok,32.27383863080684,31.197559115179253,226,56,81,89,4.199999999999999,0.07326453090307064
none:xgb_delta,none,1311,ok,32.224938875305625,32.036613272311214,236,61,86,89,3.8000000000000016,0.01822241475876375
drop_far_proxy:lgbm_delta,drop_far_proxy,1297,ok,32.20048899755501,32.1815408085431,136,37,47,52,3.5999999999999983,0.05757431943385756
none:gbrt_delta,none,1311,ok,32.163814180929094,32.22730739893211,198,47,71,80,3.3000000000000003,0.02356917165973242
drop_far_proxy:decision_tree_delta_d2,drop_far_proxy,1297,ok,32.127139364303176,30.808543096872615,139,35,52,52,2.9999999999999982,0.035145384003058826
non_tie:xgb_delta,non_tie,509,ok,32.078239608801965,32.036613272311214,275,64,105,106,2.5999999999999996,0.02906053581664079
switch_relevant:xgb_delta,switch_relevant,509,ok,32.078239608801965,32.036613272311214,275,64,105,106,2.5999999999999996,0.02906053581664079
drop_far_proxy:xgb_delta,drop_far_proxy,1297,ok,32.017114914425434,31.952707856598018,133,34,44,55,2.0999999999999983,0.062493989361992366
non_tie:logistic_switch,non_tie,509,ok,32.01711491442543,31.18230358504958,240,55,91,94,2.099999999999999,0.6441803592504555
switch_relevant:logistic_switch,switch_relevant,509,ok,32.01711491442543,31.18230358504958,240,55,91,94,2.099999999999999,0.6441803592504555
drop_far_proxy:ridge_delta,drop_far_proxy,1297,ok,31.91931540342299,31.35774218154081,204,47,86,71,1.299999999999998,0.07868078270469134
none:random_forest_delta,none,1311,ok,31.90709046454768,32.13577421815408,168,41,54,73,1.2000000000000004,0.010062058302803824
drop_far_proxy:gbrt_delta,drop_far_proxy,1297,ok,31.894865525672365,32.12814645308924,121,30,43,48,1.0999999999999988,0.06664541650794023
non_tie:random_forest_delta,non_tie,509,ok,31.870415647921767,31.906941266209,211,50,71,90,0.899999999999999,0.028278433781534502
switch_relevant:random_forest_delta,switch_relevant,509,ok,31.870415647921767,31.906941266209,211,50,71,90,0.899999999999999,0.02827843378153451
drop_far_proxy:random_forest_delta,drop_far_proxy,1297,ok,31.821515892420532,32.00610221205187,204,45,75,84,0.5,-0.0033172094103174903
none:ridge_delta,none,1311,ok,31.784841075794624,31.487414187643015,183,41,74,68,0.19999999999999915,0.08224935065497088
drop_far_proxy:logistic_switch,drop_far_proxy,1297,ok,31.723716381418093,31.22044241037376,232,60,72,100,-0.30000000000000104,0.7746078663359843
none:logistic_switch,none,1311,ok,31.674816625916876,31.06025934401221,264,65,88,111,-0.7000000000000008,0.7526934363171981
non_tie:ridge_delta,non_tie,509,ok,31.662591687041562,31.365369946605647,191,40,78,73,-0.7999999999999998,0.11639026091629451
non_tie:gbrt_delta,non_tie,509,ok,31.662591687041562,32.151029748283754,311,63,122,126,-0.8000000000000054,0.005915468287514666
switch_relevant:ridge_delta,switch_relevant,509,ok,31.662591687041562,31.365369946605647,191,40,78,73,-0.7999999999999998,0.11639026091629451
switch_relevant:gbrt_delta,switch_relevant,509,ok,31.662591687041562,32.151029748283754,311,63,122,126,-0.8000000000000054,0.005915468287514666
