experiment,fold,train_mra_percent,val_mra_percent,rule_json,val_quantile_counts_json
near_gate_cv,0,31.931818181818176,30.06451612903226,"{""family"": ""near_gate"", ""train_mra"": 0.3193181818181818, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 155}"
near_gate_cv,1,31.847649918962723,30.38961038961039,"{""family"": ""near_gate"", ""train_mra"": 0.3184764991896272, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,2,32.20421393841167,28.96103896103896,"{""family"": ""near_gate"", ""train_mra"": 0.3220421393841167, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,3,30.599675850891412,35.38961038961039,"{""family"": ""near_gate"", ""train_mra"": 0.3059967585089141, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,4,31.199351701782817,32.5974025974026,"{""family"": ""near_gate"", ""train_mra"": 0.3119935170178282, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3782122232625908}","{""p05"": 1, ""p90"": 153}"
spread_gate_cv,0,32.11038961038961,30.06451612903226,"{""family"": ""spread_gate"", ""train_mra"": 0.3211038961038961, ""threshold_p90"": 0.724230016448925, ""threshold_spread"": 0.26264463491663403, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 155}"
spread_gate_cv,1,31.92868719611021,30.77922077922078,"{""family"": ""spread_gate"", ""train_mra"": 0.3192868719611021, ""threshold_p90"": 0.6930265861173388, ""threshold_spread"": 0.2686937530478547, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 3, ""p90"": 151}"
spread_gate_cv,2,32.38249594813614,28.96103896103896,"{""family"": ""spread_gate"", ""train_mra"": 0.3238249594813614, ""threshold_p90"": 0.7242622326456164, ""threshold_spread"": 0.255470500846867, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 153}"
spread_gate_cv,3,30.696920583468394,35.714285714285715,"{""family"": ""spread_gate"", ""train_mra"": 0.30696920583468396, ""threshold_p90"": 0.6950210969966252, ""threshold_spread"": 0.2638518758032769, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 2, ""p90"": 152}"
spread_gate_cv,4,31.37763371150729,32.98701298701299,"{""family"": ""spread_gate"", ""train_mra"": 0.3137763371150729, ""threshold_p90"": 0.6935429623795363, ""threshold_spread"": 0.2638518758032769, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 154}"
stump_cv,0,32.61363636363637,30.903225806451612,"{""family"": ""stump"", ""train_mra"": 0.32613636363636367, ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.832374376678174, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 8, ""p90"": 147}"
stump_cv,1,32.54457050243112,30.71428571428571,"{""family"": ""stump"", ""train_mra"": 0.3254457050243112, ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.0758102656836837, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 34, ""p90"": 120}"
stump_cv,2,33.14424635332253,28.50649350649351,"{""family"": ""stump"", ""train_mra"": 0.33144246353322526, ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.540231919978755, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 12, ""p90"": 142}"
stump_cv,3,31.507293354943272,32.01298701298701,"{""family"": ""stump"", ""train_mra"": 0.3150729335494327, ""feature"": ""ratio_p90_median"", ""threshold"": 1.764888091160433, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 38, ""p90"": 116}"
stump_cv,4,32.042139384116695,31.493506493506494,"{""family"": ""stump"", ""train_mra"": 0.3204213938411669, ""feature"": ""accepted_candidate_mean"", ""threshold"": 2.6875, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 64, ""p90"": 90}"
tree_depth2_cv,0,32.90584415584416,31.096774193548388,"{""family"": ""tree_depth2"", ""train_mra"": 0.32905844155844155, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.6969230769230768, ""count"": 616, ""left"": {""type"": ""node"", ""feature"": ""det_score_min"", ""threshold"": 0.5080085601125445, ""count"": 577, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 544, ""train_mra"": 0.3161764705882353}, ""right"": {""type"": ""leaf"", ""quantile"": ""median"", ""count"": 33, ""train_mra"": 0.3878787878787879}}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 39, ""train_mra"": 0.45897435897435895}}}","{""median"": 8, ""p75"": 11, ""p90"": 136}"
