query,status,error,missing_objects,instance_count,regions_json,artifacts
trash bin,error,Object grounding produced no candidate regions.,trash bin,0,[],
trash can,success,,,1,"[{""label"": ""trash can"", ""bbox"": [413.5124206542969, 137.4755859375, 586.620361328125, 357.7929382324219], ""score"": 0.41961175203323364}]",docs/tasks/object_abs_distance/failure_analysis_full_20260615/doc_2215_trash_bin_detection/alias_probe/tools/LocalizeObjects/scene0149_00_frame_00581_0e8f446c58_bbox.png
garbage can,success,,,2,"[{""label"": ""garbage"", ""bbox"": [413.01629638671875, 137.27230834960938, 586.7291870117188, 357.96612548828125], ""score"": 0.46167805790901184}, {""label"": ""garbage can"", ""bbox"": [413.01629638671875, 137.27230834960938, 586.7291870117188, 357.96612548828125], ""score"": 0.46167805790901184}]",docs/tasks/object_abs_distance/failure_analysis_full_20260615/doc_2215_trash_bin_detection/alias_probe/tools/LocalizeObjects/scene0149_00_frame_00581_414814f484_bbox.png
garbage bin,success,,,1,"[{""label"": ""garbage bin"", ""bbox"": [412.9652404785156, 137.34780883789062, 586.69140625, 357.896240234375], ""score"": 0.4581551253795624}]",docs/tasks/object_abs_distance/failure_analysis_full_20260615/doc_2215_trash_bin_detection/alias_probe/tools/LocalizeObjects/scene0149_00_frame_00581_02be5661d6_bbox.png
waste bin,success,,,1,"[{""label"": ""waste bin"", ""bbox"": [412.6797790527344, 137.2333221435547, 586.7503662109375, 358.1344909667969], ""score"": 0.4609365463256836}]",docs/tasks/object_abs_distance/failure_analysis_full_20260615/doc_2215_trash_bin_detection/alias_probe/tools/LocalizeObjects/scene0149_00_frame_00581_703b1d9ca7_bbox.png
wastebasket,success,,,1,"[{""label"": ""wastebasket"", ""bbox"": [412.6322937011719, 137.4226837158203, 586.6773071289062, 360.0666809082031], ""score"": 0.46680036187171936}]",docs/tasks/object_abs_distance/failure_analysis_full_20260615/doc_2215_trash_bin_detection/alias_probe/tools/LocalizeObjects/scene0149_00_frame_00581_4a63c26fcf_bbox.png
dustbin,success,,,1,"[{""label"": ""dustbin"", ""bbox"": [413.5289306640625, 137.9842529296875, 586.5299682617188, 358.9380187988281], ""score"": 0.47646215558052063}]",docs/tasks/object_abs_distance/failure_analysis_full_20260615/doc_2215_trash_bin_detection/alias_probe/tools/LocalizeObjects/scene0149_00_frame_00581_903e641039_bbox.png
bin,error,Object grounding produced no candidate regions.,bin,0,[],
recycling bin,success,,,1,"[{""label"": ""recycling bin"", ""bbox"": [413.6385498046875, 137.39955139160156, 586.6305541992188, 355.4793701171875], ""score"": 0.3496888279914856}]",docs/tasks/object_abs_distance/failure_analysis_full_20260615/doc_2215_trash_bin_detection/alias_probe/tools/LocalizeObjects/scene0149_00_frame_00581_06e4785662_bbox.png
container,error,Object grounding produced no candidate regions.,container,0,[],
bucket,error,Object grounding produced no candidate regions.,bucket,0,[],
ALL_ALIASES,success,,trash bin|trash can|garbage can|garbage bin|waste bin|dustbin|bin|recycling bin|container|bucket,1,"[{""label"": ""wastebasket"", ""bbox"": [412.0010986328125, 136.6892852783203, 586.8219604492188, 358.4652099609375], ""score"": 0.34851521253585815}]",docs/tasks/object_abs_distance/failure_analysis_full_20260615/doc_2215_trash_bin_detection/alias_probe/tools/LocalizeObjects/scene0149_00_frame_00581_51e98439f4_bbox.png
