frame_position,image_path,status,has_trash_bin,has_microwave,trash_bin_region,microwave_label,microwave_score,microwave_bbox,artifacts
0,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00000.jpg,error,False,False,null,,,,
1,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00022.jpg,error,False,False,null,,,,
2,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00045.jpg,partially_localized,False,True,null,microwave,0.5801399946212769,"[440.30548095703125, 1.7439723014831543, 599.00927734375, 144.738525390625]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00045_64e55d25fc_bbox.png
3,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00067.jpg,partially_localized,False,True,null,microwave,0.4646167457103729,"[420.62982177734375, 168.11293029785156, 563.5790405273438, 279.3099060058594]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00067_64e55d25fc_bbox.png
4,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00089.jpg,partially_localized,False,True,null,microwave,0.4864538013935089,"[402.69384765625, 264.5168151855469, 577.4926147460938, 412.32659912109375]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00089_64e55d25fc_bbox.png
5,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00112.jpg,partially_localized,False,True,null,microwave,0.5191893577575684,"[374.1513366699219, 303.3953552246094, 548.2357177734375, 452.95281982421875]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00112_64e55d25fc_bbox.png
6,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00134.jpg,partially_localized,False,True,null,microwave,0.46227312088012695,"[347.024658203125, 184.52557373046875, 508.1589050292969, 327.4573974609375]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00134_64e55d25fc_bbox.png
7,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00156.jpg,partially_localized,False,True,null,microwave,0.5715652108192444,"[251.35479736328125, 3.788158893585205, 420.1532287597656, 161.825927734375]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00156_64e55d25fc_bbox.png
8,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00179.jpg,error,False,False,null,,,,
9,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00201.jpg,error,False,False,null,,,,
10,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00223.jpg,error,False,False,null,,,,
11,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00246.jpg,error,False,False,null,,,,
12,/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/doc_2215/sampled_frames/scene0149_00_frame_00268.jpg,partially_localized,False,True,null,microwave,0.3067161738872528,"[214.7923583984375, 279.42413330078125, 267.3580322265625, 336.1453857421875]",/disk/wangzhe/SpatialScore/runs/object_abs_distance_full_qwen25vl_gpu3_20260615_160000/tools/LocalizeObjects/scene0149_00_frame_00268_64e55d25fc_bbox.png
